,code,name
753,KR718064K016,한진칼우
754,KR7180640005,한진칼
755,KR7005110002,한창
756,KR7009460007,한창제지
757,KR700088K015,한화3우B
758,KR7000880005,한화
759,KR7088350004,한화생명
760,KR7000370007,한화손해보험
761,KR7009830001,한화솔루션
762,KR7272210006,한화시스템
763,KR7012450003,한화에어로스페이스
764,KR7003530003,한화투자증권
765,KR7195870001,해성디에스
766,KR7101530004,해태제과식품
767,KR7143210003,핸즈코퍼레이션
768,KR7267270007,현대건설기계
769,KR7000720003,현대건설
770,KR7005440003,현대그린푸드
771,KR7086280005,현대글로비스
772,KR7064350002,현대로템
773,KR7079430005,현대리바트
774,KR7012330007,현대모비스
775,KR7010620003,현대미포조선
776,KR7069960003,현대백화점
777,KR7004560009,현대비앤지스틸
778,KR7004310009,현대약품
779,KR7322000001,현대에너지솔루션
780,KR7017800004,현대엘리베이
781,KR7307950006,현대오토에버
782,KR7011210002,현대위아
783,KR7267260008,현대일렉트릭
784,KR7005380001,현대차
785,KR7004020004,현대제철
786,KR7011760006,현대상사
787,KR7267250009,현대중공업지주
788,KR7001500008,현대차증권
789,KR7227840006,현대코퍼레이션홀딩스
790,KR7126560002,현대퓨처넷
791,KR7001450006,현대해상
792,KR7057050007,현대홈쇼핑
793,KR7093240000,형지엘리트
794,KR7003010006,혜인
795,KR7111110003,호전실업
796,KR7008770000,호텔신라
797,KR7002460004,화성산업
798,KR7378850002,화승알앤에이
799,KR7241590009,화승엔터프라이즈
800,KR7006060008,화승인더
801,KR7013520002,화승코퍼레이션
802,KR7010690006,화신
803,KR7133820001,화인베스틸
804,KR7010660009,화천기계
805,KR7000850008,화천기공
806,KR7016580003,환인제약
807,KR7032560005,황금에스티
808,KR7004800009,효성
809,KR7094280005,효성ITX
810,KR7298040007,효성중공업
811,KR7298050006,효성첨단소재
812,KR7298020009,효성티앤씨
813,KR7298000001,효성화학
814,KR7093370005,후성
815,KR7081660003,휠라홀딩스
816,KR7005870001,휴니드
817,KR7079980009,휴비스
818,KR7005010004,휴스틸
819,KR7069260008,휴켐스
820,KR7000540005,흥국화재
821,KR7003280005,흥아해운
